Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
Corporate Events,Closed Lost,768.0,2SEMESTERS20OFF,financial control,lost to competitor,Inbound,Chicago,2019,11,2019,11
Sports Events,Closed Lost,360.0,MONTHSAVE25DEAL,operations,lost to competitor,Inbound,Chicago,2019,11,2019,11
Corporate Events,Other,1303.7540329575022,2SEMESTERS20OFF,operations,not target,Outbound,Columbus,2019,11,2020,1
Corporate Events,Closed Won,240.0,MONTH50REBATE,operations,not target,Outbound,Chicago,2019,11,2019,11
Corporate Events,Closed Won,240.0,MONTH50REBATE,quality of delivery,not target,Inbound,Chicago,2019,12,2019,12
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,quality of delivery,not target,Outbound,Phoenix,2019,12,2019,12
Sports Events,Other,324.0,SLASH10,operations,not target,Inbound,San Jose,2020,8,2020,10
Educational Seminars,Closed Won,1344.0,ANNUAL30BONUS,financial control,not target,Inbound,Chicago,2020,9,2020,9
Sports Events,Closed Won,768.0,HALFYEAR20G,operations,not target,Inbound,Chicago,2019,7,2019,7
Educational Seminars,Other,768.0,HALFYEAR20G,quality of delivery,not target,Inbound,Chicago,2019,7,2019,7
Educational Seminars,Closed Lost,200.0,2SEMESTERS20OFF,financial control,no product fit,Outbound,San Antonio,2019,9,2019,9
Educational Seminars,Closed Lost,240.0,SAVEMONTH50G,operations,no product fit,Outbound,Chicago,2019,10,2019,10
Educational Seminars,Closed Won,1344.0,ANNUAL30BONUS,financial control,not target,Inbound,Chicago,2019,11,2019,11
Corporate Events,Closed Lost,200.0,2SEMESTERS20OFF,financial control,lost to competitor,Inbound,Columbus,2019,11,2019,11
Educational Seminars,Other,768.0,HALFYEAR20G,operations,not target,Inbound,Chicago,2019,11,2020,1
Corporate Events,Closed Won,360.0,MONTHSAVE25DEAL,operations,not target,Inbound,San Francisco,2019,11,2019,11
Sports Events,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Chicago,2019,2,2020,1
Sports Events,Other,1303.7540329575022,2SEMESTERS20OFF,quality of delivery,not target,Inbound,Chicago,2019,9,2020,1
