Id,Source,Discarded/Nurturing Reason,Acquisition Campaign,City
4dbz98ki,Inbound,Not the right moment,Follow-up: digital guide 2,San Francisco
ire1wjdm,Inbound,Not Target,,San Francisco
fxrs7ale,Inbound,Not Fit,,
ozfsgff8,Inbound,Not the right moment,Follow-up: digital guide 2,San Diego
vbzq7wph,Inbound,Not Target,,Chicago
ogpr2ps2,Inbound,Not feeling,,
u800usso,Inbound,Not Target,,San Francisco
pp04ggz2,Inbound,Wrong Data,,
8nn0hc5b,Inbound,Not Target,,Chicago
iw2p1s4j,Inbound,Competitor,,Dallas
2ag480cn,Inbound,,,San Francisco
xh7nkhxc,Inbound,Not the right moment,,San Francisco
04q1prrk,Inbound,Competitor,,
lerz4e44,Inbound,Not Fit,,Austin
1hegs1gs,Inbound,Not Target,,Seattle
t8x1xgo6,Inbound,Unreachable,,Chicago
xd6vvw10,Inbound,Not Fit,,
0jqeeaft,Inbound,,,New York
strv0yff,Inbound,Not Fit,,Washington
02gvepke,Inbound,Unreachable,,San Jose
wvl7t88n,Inbound,Wrong Data,,
7os1hc0j,Inbound,Not Target,,San Diego
d3pgmlx3,Inbound,Not Fit,,San Diego
x2n2xqmf,Inbound,,,Chicago
bwnkvila,Inbound,Not Target,,Seattle
d5nv6a7k,Inbound,Not Target,,Jacksonville
9mzbzlmk,Inbound,Not Target,,Indianapolis
i27yncnw,Inbound,Not Target,,San Francisco
umiw8hi7,Inbound,Not Target,,Chicago
jqg7kvfb,Inbound,No show,Follow-up: digital guide 2,Washington
gh78f4rx,Inbound,Competitor,,
8krmaolp,Inbound,,,Chicago
jj7fh62e,Inbound,Not the right moment,,Austin
2hp4r3g0,Inbound,Unreachable,,San Diego
e0t6n4zh,Inbound,Not feeling,Follow-up: digital guide 2,Chicago
ve450tt8,Inbound,,,Chicago
n4i88r8f,Inbound,,,
wo10tmqg,Inbound,Unreachable,Follow-up: digital guide 2,
c2v6t708,Inbound,Not feeling,,Jacksonville
7zdtz5e7,Inbound,,,Chicago
kjcyemqd,Inbound,Not Target,,San Diego
jwqfs5cs,Inbound,,,Denver
llgmumoc,Inbound,Not Target,,Chicago
ghmuvb8m,Inbound,Unreachable,Follow-up: digital guide 2,San Francisco
gbedaamz,Inbound,,,Chicago
zajosj9w,Inbound,,,Washington
gtytuxap,Inbound,,,Chicago
lts534et,Inbound,Unreachable,,Chicago
gnhul3n3,Inbound,,,
o9sls24v,Inbound,Not the right moment,,San Diego
niu3tarw,Inbound,Unreachable,,San Francisco
rjelqdxo,Inbound,,,San Francisco
ms2gqzc3,Inbound,Not Target,,Chicago
