Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
1,0,0.0,2,2,5,0,7,2019,12,2019,12
3,1,768.0,51,0,5,0,2,2020,2,2020,2
1,2,1303.7540329575022,17,1,5,0,2,2020,4,2020,1
1,1,1344.0,110,0,5,0,2,2020,4,2020,4
1,1,576.0,3,2,5,1,2,2019,11,2019,11
1,1,1344.0,110,1,5,0,2,2019,11,2019,12
1,1,240.0,62,1,5,0,2,2019,12,2019,12
2,0,0.0,2,0,3,0,17,2019,2,2019,12
1,2,1303.7540329575022,2,1,5,0,3,2019,12,2020,1
1,1,768.0,2,0,5,0,14,2019,12,2019,12
1,2,0.0,17,0,5,0,2,2019,12,2020,1
1,2,1303.7540329575022,2,1,5,1,2,2019,12,2020,1
1,1,576.0,3,0,5,0,16,2019,12,2019,12
3,0,1344.0,6,1,4,0,2,2019,11,2019,11
1,1,768.0,2,2,5,0,2,2019,8,2019,11
1,1,240.0,62,0,5,0,2,2019,11,2019,11
1,0,200.0,2,1,0,0,2,2019,11,2019,11
1,1,768.0,2,1,5,0,2,2019,11,2019,11
2,1,960.0,111,1,5,0,2,2019,9,2019,9
1,1,240.0,62,1,5,1,2,2019,12,2019,12
2,0,200.0,2,1,4,0,11,2019,12,2019,12
1,1,324.0,0,0,5,1,2,2019,12,2019,12
1,1,1344.0,110,0,5,0,2,2020,1,2020,1
3,2,0.0,2,1,5,0,2,2020,2,2020,2
1,1,1344.0,110,2,5,0,2,2019,11,2019,11
2,2,150.0,17,0,5,0,2,2019,11,2020,1
2,1,1344.0,6,0,5,1,1,2019,9,2019,9
1,2,360.0,66,0,5,0,18,2019,12,2019,12
1,1,324.0,0,1,5,0,2,2019,11,2019,11
1,0,360.0,79,0,0,1,4,2019,11,2019,11
3,1,150.0,65,0,5,0,2,2019,11,2019,11
3,1,768.0,51,0,5,0,2,2020,3,2020,3
2,2,1344.0,6,0,5,0,2,2020,8,2020,8
1,2,360.0,79,1,5,0,16,2020,9,2020,1
1,2,1303.7540329575022,2,1,5,0,2,2019,12,2020,1
1,0,324.0,0,0,0,1,2,2019,12,2019,12
1,1,240.0,62,1,5,1,9,2019,12,2019,12
1,1,360.0,79,0,5,1,10,2020,2,2020,2
1,0,240.0,62,0,5,1,14,2019,11,2019,11
1,1,120.0,4,1,5,0,2,2019,12,2019,12
3,2,1344.0,32,1,5,0,2,2020,9,2020,9
1,1,768.0,2,2,5,0,2,2019,11,2019,11
1,2,360.0,66,0,5,0,17,2020,2,2020,3
1,1,240.0,62,1,5,0,8,2019,7,2019,7
2,2,0.0,2,1,5,0,2,2020,9,2020,9
1,2,300.0,60,1,5,1,2,2020,10,2020,10
1,1,768.0,2,1,5,0,2,2019,11,2019,11
1,1,120.0,94,1,5,0,4,2019,11,2019,11
2,2,1344.0,6,2,5,0,2,2019,9,2019,9
1,2,960.0,87,1,5,0,2,2019,12,2019,12
1,2,1303.7540329575022,2,1,5,0,9,2019,12,2020,1
